Subject ID;Video ID;Attention (Proprietary measure of mental focus);Mediation (Proprietary measure of calmness);Raw (Raw EEG signal);Delta (1-3 Hz of power spectrum);Theta (4-7 Hz of power spectrum);Alpha 1 (Lower 8-11 Hz of power spectrum);Alpha 2 (Higher 8-11 Hz of power spectrum);Beta 1 (Lower 12-29 Hz of power spectrum);Beta 2 (Higher 12-29 Hz of power spectrum);Gamma 1 (Lower 30-100 Hz of power spectrum);Gamma 2 (Higher 30-100 Hz of power spectrum); predefined label (whether the subject is expected to be confused);user-defined label (whether the subject is actually confused)
0.000000000000000000e+00;0.000000000000000000e+00;2,70E+19;3,70E+19;3,70E+19;6,03E+23;4,73E+22;3,22E+21;2,81E+21;1,86E+21;7,21E+21;7,88E+21;1,52E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;2,90E+19;5,00E+19;1,02E+20;2,35E+23;1,83E+23;5,40E+22;3,13E+22;1,96E+22;6,71E+22;2,94E+22;2,14E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;3,00E+19;3,50E+19;2,40E+19;1,88E+23;1,45E+23;3,55E+21;5,54E+21;1,64E+22;2,24E+22;1,47E+22;7,34E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;3,70E+19;2,10E+19;-5,10E+19;6,33E+23;1,62E+23;1,27E+22;3,99E+21;5,85E+21;2,30E+22;2,26E+22;9,85E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;3,00E+19;4,10E+19;6,10E+19;4,78E+23;2,64E+23;2,18E+23;7,64E+22;2,22E+22;3,89E+22;6,70E+22;4,26E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;2,60E+19;4,30E+19;2,90E+20;7,31E+23;6,91E+22;2,33E+22;9,02E+21;4,77E+21;1,29E+22;1,82E+22;2,11E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;2,00E+19;5,60E+19;-2,10E+19;1,10E+24;6,73E+23;7,47E+22;9,32E+22;6,70E+22;5,02E+22;8,84E+22;3,10E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;2,00E+19;6,70E+19;4,00E+18;1,97E+24;1,85E+23;4,12E+22;2,18E+22;7,83E+21;3,55E+22;2,22E+22;2,39E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;3,50E+19;4,80E+19;-1,56E+20;1,36E+24;3,16E+23;6,16E+22;1,85E+22;1,87E+23;1,71E+23;6,01E+22;1,89E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;4,80E+19;4,80E+19;-2,20E+19;6,38E+23;3,04E+22;2,15E+22;1,00E+22;1,29E+22;5,28E+22;2,06E+22;1,77E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;6,30E+19;5,10E+19;3,00E+18;4,23E+23;1,28E+23;7,03E+22;5,49E+21;2,29E+22;7,09E+22;2,27E+22;7,38E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;6,10E+19;5,30E+19;0.000000000000000000e+00;5,85E+23;2,38E+23;7,16E+22;4,73E+22;5,88E+22;3,76E+22;5,00E+22;2,74E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;5,40E+19;6,70E+19;1,86E+20;1,10E+24;8,36E+22;6,89E+22;1,22E+22;4,44E+22;3,20E+22;8,69E+22;3,34E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;5,10E+19;5,00E+19;4,00E+19;4,80E+23;2,07E+23;1,17E+22;5,01E+21;7,89E+21;1,22E+23;4,79E+22;6,96E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;5,70E+19;5,00E+19;8,80E+19;4,84E+22;6,38E+21;2,89E+21;4,67E+21;4,02E+21;1,04E+22;9,81E+21;2,28E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;6,90E+19;5,60E+19;2,60E+19;9,31E+21;1,52E+22;1,79E+22;1,76E+22;1,17E+22;2,49E+22;1,23E+22;2,21E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;8,00E+19;5,40E+19;-7,00E+18;2,53E+23;4,18E+22;2,36E+22;1,90E+22;1,54E+22;5,21E+22;2,86E+22;1,04E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;6,70E+19;5,10E+19;9,10E+19;1,95E+23;6,56E+22;5,12E+20;2,61E+21;6,60E+21;9,15E+21;1,21E+22;6,34E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;6,90E+19;4,70E+19;8,00E+19;1,84E+22;2,63E+22;2,16E+21;1,59E+22;2,43E+22;4,52E+22;1,64E+22;1,38E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;7,70E+19;3,40E+19;3,90E+19;1,17E+22;3,53E+22;6,06E+21;1,25E+22;2,42E+22;5,46E+22;2,14E+22;9,91E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;6,60E+19;4,30E+19;1,00E+19;2,33E+23;3,07E+22;4,37E+22;3,20E+22;1,43E+22;1,98E+22;2,59E+22;9,47E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;7,00E+19;6,30E+19;1,03E+20;1,51E+23;1,49E+22;3,80E+21;3,33E+21;2,29E+21;4,46E+21;7,05E+21;1,67E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;7,40E+19;6,90E+19;7,40E+19;1,88E+22;6,58E+21;1,10E+22;5,62E+21;7,64E+21;3,08E+22;1,37E+22;9,25E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;6,90E+19;8,00E+19;2,40E+19;3,42E+23;3,30E+22;3,08E+22;1,61E+22;5,03E+21;5,18E+22;3,05E+22;1,32E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;9,00E+19;6,30E+19;5,30E+19;8,59E+21;4,72E+21;3,32E+21;8,46E+21;1,59E+22;3,86E+22;7,07E+21;7,28E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;9,00E+19;6,00E+19;8,70E+19;2,57E+23;9,44E+22;9,80E+21;2,02E+22;2,17E+22;2,68E+22;3,27E+22;1,03E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;7,70E+19;6,10E+19;8,90E+19;2,29E+22;2,90E+22;1,53E+22;1,30E+22;9,14E+21;1,54E+22;4,59E+22;4,48E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;8,10E+19;5,70E+19;-4,00E+19;8,66E+21;9,10E+21;1,30E+22;1,41E+22;1,90E+22;3,77E+22;2,74E+22;1,21E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;7,00E+19;5,70E+19;1,10E+19;9,16E+22;2,39E+22;4,92E+21;3,25E+21;2,30E+21;2,20E+22;7,51E+21;2,78E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;7,70E+19;6,00E+19;-2,00E+19;5,80E+23;1,48E+23;7,50E+22;1,37E+22;3,60E+22;1,01E+23;2,76E+22;1,16E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;8,40E+19;5,10E+19;-3,30E+19;1,31E+23;1,44E+22;2,27E+21;4,23E+21;2,40E+21;1,72E+22;6,48E+21;4,70E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;7,50E+19;4,30E+19;1,00E+19;3,37E+23;9,84E+22;5,40E+21;1,90E+22;1,41E+22;3,38E+22;5,70E+22;1,42E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;7,70E+19;4,80E+19;1,08E+20;4,93E+22;2,86E+22;1,08E+22;1,87E+22;1,12E+22;5,32E+22;7,52E+22;6,42E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;8,40E+19;4,30E+19;4,50E+19;9,54E+22;1,10E+22;2,89E+21;1,34E+21;1,40E+21;1,62E+22;1,26E+22;3,15E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;9,40E+19;4,30E+19;2,50E+19;1,23E+23;5,57E+21;1,19E+21;1,27E+22;7,27E+21;5,83E+22;2,08E+22;1,24E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;1,00E+20;4,40E+19;7,40E+19;7,11E+22;1,98E+22;7,46E+21;2,18E+21;1,91E+22;1,66E+22;1,63E+22;1,48E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;1,00E+20;4,10E+19;3,70E+19;7,44E+22;1,72E+22;1,56E+22;4,89E+21;2,25E+22;4,26E+22;7,01E+22;1,58E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;1,00E+20;4,70E+19;-1,56E+20;5,89E+22;3,74E+22;1,69E+22;2,14E+22;2,64E+22;5,91E+22;3,42E+22;1,66E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;7,50E+19;5,30E+19;-1,20E+19;9,00E+22;7,96E+22;8,33E+21;4,39E+22;2,17E+22;2,17E+22;2,02E+22;1,29E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;8,80E+19;5,60E+19;6,80E+19;8,75E+21;7,07E+21;6,77E+21;1,81E+22;6,61E+21;9,07E+22;3,57E+22;3,31E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;8,10E+19;6,00E+19;4,40E+19;2,01E+23;6,59E+21;1,70E+21;2,63E+21;1,26E+21;6,10E+21;2,10E+21;4,11E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;8,80E+19;5,10E+19;9,20E+19;4,21E+21;1,74E+22;3,74E+21;5,61E+21;8,08E+21;4,80E+22;1,59E+22;4,62E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;1,00E+20;5,70E+19;4,20E+19;2,85E+22;1,95E+21;2,09E+22;2,22E+22;1,02E+22;4,42E+22;3,38E+22;1,64E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;8,70E+19;5,60E+19;1,09E+20;2,35E+23;3,61E+22;6,23E+21;6,56E+21;1,35E+22;1,58E+22;5,62E+22;1,05E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;9,00E+19;5,60E+19;4,30E+19;1,54E+22;1,23E+22;6,75E+21;1,56E+22;2,21E+22;3,04E+22;6,33E+21;1,08E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;8,00E+19;6,70E+19;1,38E+20;2,29E+21;1,04E+22;1,10E+22;6,22E+21;1,38E+22;1,52E+22;9,63E+21;6,08E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;8,30E+19;6,00E+19;3,70E+19;1,80E+23;1,01E+22;6,60E+21;8,62E+21;8,67E+21;2,89E+22;2,09E+22;1,05E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;7,70E+19;6,30E+19;2,00E+19;9,11E+22;2,59E+22;8,05E+21;2,30E+21;3,60E+21;6,46E+21;4,61E+21;4,99E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;8,00E+19;5,30E+19;5,00E+18;2,44E+21;3,14E+22;5,93E+21;4,54E+21;1,87E+22;5,34E+22;9,84E+21;9,84E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;7,50E+19;5,10E+19;3,30E+19;2,26E+23;3,86E+22;8,62E+21;2,51E+22;2,74E+22;1,67E+22;2,56E+22;1,14E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;6,40E+19;4,40E+19;-8,90E+19;1,18E+23;8,18E+22;1,27E+22;7,45E+21;1,18E+22;3,40E+22;1,35E+22;2,30E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;7,50E+19;3,80E+19;1,44E+20;6,86E+22;7,29E+22;5,92E+21;1,42E+22;1,16E+22;5,43E+22;3,74E+22;1,39E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;6,60E+19;4,70E+19;4,30E+19;7,83E+22;5,20E+22;6,47E+21;1,63E+22;6,31E+21;3,50E+22;3,45E+22;1,52E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;6,90E+19;3,80E+19;-1,97E+20;2,42E+23;1,36E+23;1,36E+22;3,13E+22;2,20E+22;6,79E+22;2,35E+22;1,86E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;7,70E+19;4,80E+19;1,80E+19;1,91E+23;3,59E+22;1,36E+22;3,02E+22;6,43E+21;6,11E+22;2,72E+22;9,60E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;8,10E+19;5,00E+19;5,80E+19;5,25E+21;1,94E+22;4,17E+21;6,99E+21;4,89E+21;3,97E+22;4,83E+22;2,28E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;8,70E+19;4,40E+19;-1,00E+20;1,17E+23;5,66E+22;7,45E+21;1,50E+22;2,18E+22;6,21E+22;4,83E+22;1,79E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;7,70E+19;4,40E+19;-5,70E+19;3,95E+23;8,70E+22;1,81E+21;1,47E+22;3,26E+21;1,07E+22;2,34E+22;7,63E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;6,90E+19;4,00E+19;2,00E+19;1,03E+23;1,22E+23;2,90E+22;2,03E+22;1,54E+22;5,17E+22;1,75E+22;2,43E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;5,60E+19;4,30E+19;8,50E+19;3,24E+23;1,40E+23;2,01E+22;2,64E+22;1,03E+22;4,71E+22;6,43E+22;7,89E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;5,70E+19;5,10E+19;2,59E+20;1,91E+22;1,30E+22;7,71E+21;1,63E+22;1,29E+22;4,20E+22;4,73E+22;1,28E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;6,00E+19;4,30E+19;1,10E+19;3,07E+23;6,34E+22;2,70E+21;3,01E+21;6,97E+21;8,48E+21;1,09E+22;3,73E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;5,70E+19;3,80E+19;-1,70E+19;7,97E+23;2,74E+22;5,78E+21;2,48E+21;1,96E+22;9,64E+21;1,21E+22;3,23E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;6,00E+19;4,00E+19;8,60E+19;4,20E+22;5,54E+22;1,46E+22;1,06E+22;6,79E+21;2,28E+22;1,90E+22;2,33E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;5,40E+19;4,00E+19;3,41E+20;3,56E+22;2,97E+22;8,14E+21;1,24E+22;1,54E+22;2,73E+22;1,37E+22;1,50E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;6,00E+19;4,30E+19;-8,00E+18;1,47E+23;1,75E+22;1,90E+21;7,74E+20;1,71E+21;4,70E+21;1,92E+21;1,79E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;6,30E+19;4,80E+19;1,14E+20;2,38E+23;8,43E+22;2,58E+22;2,26E+22;2,38E+22;5,99E+22;1,97E+22;2,99E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;6,90E+19;4,80E+19;5,80E+19;5,29E+21;1,76E+22;8,72E+21;6,95E+21;4,45E+21;2,77E+22;2,93E+22;1,03E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;7,50E+19;4,40E+19;3,00E+18;1,04E+22;1,99E+22;2,26E+21;1,03E+22;1,85E+22;2,76E+22;3,71E+22;1,33E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;8,80E+19;4,80E+19;5,10E+19;8,67E+21;9,61E+21;3,76E+21;2,98E+21;9,85E+21;2,46E+22;1,52E+22;6,99E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;8,40E+19;5,30E+19;5,40E+19;1,58E+23;4,97E+22;2,64E+22;6,89E+21;4,90E+21;2,40E+22;1,33E+22;8,29E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;8,70E+19;5,70E+19;4,90E+19;5,66E+21;3,50E+21;8,72E+21;1,40E+22;1,23E+22;2,37E+22;1,81E+22;1,30E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;7,00E+19;5,30E+19;4,20E+19;4,53E+23;4,24E+22;4,00E+21;1,22E+21;2,33E+21;5,72E+21;8,47E+21;1,18E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;6,70E+19;5,70E+19;1,20E+19;7,07E+21;1,38E+22;6,20E+21;8,10E+21;5,01E+21;3,00E+22;6,79E+22;1,69E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;6,60E+19;6,00E+19;1,01E+20;1,89E+23;9,31E+22;5,61E+22;1,37E+22;1,87E+22;3,15E+22;3,93E+22;1,45E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;6,00E+19;6,10E+19;-3,30E+19;1,28E+22;1,91E+22;2,02E+22;1,22E+22;1,03E+22;1,97E+22;3,17E+22;3,21E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;7,00E+19;8,00E+19;1,08E+20;3,57E+23;2,82E+22;5,57E+22;3,30E+22;8,06E+21;6,37E+22;5,04E+22;4,11E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;5,40E+19;7,40E+19;-3,90E+19;4,98E+23;1,11E+23;6,54E+21;1,20E+22;6,09E+21;1,60E+22;2,11E+22;5,20E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;6,30E+19;5,30E+19;4,00E+19;3,44E+23;1,03E+23;6,20E+21;4,59E+21;2,14E+22;6,93E+22;5,40E+22;1,41E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;5,70E+19;5,00E+19;5,30E+19;3,50E+23;1,04E+23;2,60E+22;4,32E+22;2,51E+22;3,14E+22;8,42E+22;1,42E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;5,10E+19;4,00E+19;7,20E+19;3,55E+23;3,02E+22;1,25E+22;3,20E+21;9,05E+21;1,33E+22;2,16E+22;3,05E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;6,70E+19;4,30E+19;-4,50E+19;5,64E+23;1,40E+23;3,12E+22;3,21E+22;3,01E+22;1,68E+23;5,37E+22;1,85E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;5,10E+19;6,40E+19;3,27E+20;6,56E+23;9,09E+22;5,17E+22;1,21E+22;1,02E+22;1,24E+22;1,79E+22;1,22E+22;0.000000000000000000e+00;0.000000000000000000e+00
